source_id,source_type,target_id,target_type,platform
E20001,user,aws:grp-Developers,group,aws
E20002,user,aws:grp-Developers,group,aws
E20003,user,aws:grp-Developers,group,aws
E20004,user,aws:grp-Developers,group,aws
E20005,user,aws:grp-Developers,group,aws
E20006,user,aws:grp-Developers,group,aws
E20007,user,aws:grp-Developers,group,aws
E20008,user,aws:grp-Developers,group,aws
E20009,user,aws:grp-Developers,group,aws
E20010,user,aws:grp-Developers,group,aws
E20011,user,aws:grp-Developers,group,aws
E20012,user,aws:grp-Developers,group,aws
E20013,user,aws:grp-Developers,group,aws
E20014,user,aws:grp-Developers,group,aws
E20015,user,aws:grp-Developers,group,aws
E20016,user,aws:grp-Developers,group,aws
E20017,user,aws:grp-Developers,group,aws
E20018,user,aws:grp-Developers,group,aws
E20019,user,aws:grp-Developers,group,aws
E20020,user,aws:grp-Developers,group,aws
E20021,user,aws:grp-Developers,group,aws
E20022,user,aws:grp-Developers,group,aws
E20023,user,aws:grp-Developers,group,aws
E20024,user,aws:grp-Developers,group,aws
E20025,user,aws:grp-Developers,group,aws
E20026,user,aws:grp-Developers,group,aws
E20027,user,aws:grp-Developers,group,aws
E20028,user,aws:grp-Developers,group,aws
E20029,user,aws:grp-Developers,group,aws
E20030,user,aws:grp-Developers,group,aws
E20031,user,aws:grp-Developers,group,aws
E20032,user,aws:grp-Developers,group,aws
E20033,user,aws:grp-Developers,group,aws
E20034,user,aws:grp-Developers,group,aws
E20035,user,aws:grp-Developers,group,aws
E20036,user,aws:grp-Developers,group,aws
E20037,user,aws:grp-Developers,group,aws
E20038,user,aws:grp-Developers,group,aws
E20039,user,aws:grp-Developers,group,aws
E20040,user,aws:grp-Developers,group,aws
E20041,user,aws:grp-Developers,group,aws
E20042,user,aws:grp-Developers,group,aws
E20043,user,aws:grp-Developers,group,aws
E20044,user,aws:grp-Developers,group,aws
E20045,user,aws:grp-Developers,group,aws
E20046,user,aws:grp-Developers,group,aws
E20047,user,aws:grp-Developers,group,aws
E20048,user,aws:grp-Developers,group,aws
E20049,user,aws:grp-Developers,group,aws
E20050,user,aws:grp-Developers,group,aws
E30001,user,ad:GG-DomainAdmins,group,ad
E30001,user,aws:grp-PlatformEng,group,aws
E30001,user,okta:grp-AllStaff,group,okta
E30002,user,ad:GG-DomainAdmins,group,ad
E30002,user,aws:grp-PlatformEng,group,aws
E30002,user,okta:grp-AllStaff,group,okta
E30003,user,ad:GG-DomainAdmins,group,ad
E30003,user,aws:grp-PlatformEng,group,aws
E30003,user,okta:grp-AllStaff,group,okta
E30004,user,ad:GG-DomainAdmins,group,ad
E30004,user,aws:grp-PlatformEng,group,aws
E30004,user,okta:grp-AllStaff,group,okta
E30005,user,ad:GG-DomainAdmins,group,ad
E30005,user,aws:grp-PlatformEng,group,aws
E30005,user,okta:grp-AllStaff,group,okta
E30006,user,ad:GG-DomainAdmins,group,ad
E30006,user,aws:grp-PlatformEng,group,aws
E30006,user,okta:grp-AllStaff,group,okta
E30007,user,ad:GG-DomainAdmins,group,ad
E30007,user,aws:grp-PlatformEng,group,aws
E30007,user,okta:grp-AllStaff,group,okta
E30008,user,ad:GG-DomainAdmins,group,ad
E30008,user,aws:grp-PlatformEng,group,aws
E30008,user,okta:grp-AllStaff,group,okta
E30009,user,ad:GG-DomainAdmins,group,ad
E30009,user,aws:grp-PlatformEng,group,aws
E30009,user,okta:grp-AllStaff,group,okta
E30010,user,ad:GG-DomainAdmins,group,ad
E30010,user,aws:grp-PlatformEng,group,aws
E30010,user,okta:grp-AllStaff,group,okta
E30011,user,ad:GG-DomainAdmins,group,ad
E30011,user,aws:grp-PlatformEng,group,aws
E30011,user,okta:grp-AllStaff,group,okta
E30012,user,ad:GG-DomainAdmins,group,ad
E30012,user,aws:grp-PlatformEng,group,aws
E30012,user,okta:grp-AllStaff,group,okta
E30013,user,ad:GG-DomainAdmins,group,ad
E30013,user,aws:grp-PlatformEng,group,aws
E30013,user,okta:grp-AllStaff,group,okta
E30014,user,ad:GG-DomainAdmins,group,ad
E30014,user,aws:grp-PlatformEng,group,aws
E30014,user,okta:grp-AllStaff,group,okta
E30015,user,ad:GG-DomainAdmins,group,ad
E30015,user,aws:grp-PlatformEng,group,aws
E30015,user,okta:grp-AllStaff,group,okta
E30016,user,ad:GG-DomainAdmins,group,ad
E30016,user,aws:grp-PlatformEng,group,aws
E30016,user,okta:grp-AllStaff,group,okta
E30017,user,ad:GG-DomainAdmins,group,ad
E30017,user,aws:grp-PlatformEng,group,aws
E30017,user,okta:grp-AllStaff,group,okta
E30018,user,ad:GG-DomainAdmins,group,ad
E30018,user,aws:grp-PlatformEng,group,aws
E30018,user,okta:grp-AllStaff,group,okta
E30019,user,ad:GG-DomainAdmins,group,ad
E30019,user,aws:grp-PlatformEng,group,aws
E30019,user,okta:grp-AllStaff,group,okta
E30020,user,ad:GG-DomainAdmins,group,ad
E30020,user,aws:grp-PlatformEng,group,aws
E30020,user,okta:grp-AllStaff,group,okta
E30021,user,ad:GG-DomainAdmins,group,ad
E30021,user,aws:grp-PlatformEng,group,aws
E30021,user,okta:grp-AllStaff,group,okta
E30022,user,ad:GG-DomainAdmins,group,ad
E30022,user,aws:grp-PlatformEng,group,aws
E30022,user,okta:grp-AllStaff,group,okta
E30023,user,ad:GG-DomainAdmins,group,ad
E30023,user,aws:grp-PlatformEng,group,aws
E30023,user,okta:grp-AllStaff,group,okta
E30024,user,ad:GG-DomainAdmins,group,ad
E30024,user,aws:grp-PlatformEng,group,aws
E30024,user,okta:grp-AllStaff,group,okta
E30025,user,ad:GG-DomainAdmins,group,ad
E30025,user,aws:grp-PlatformEng,group,aws
E30025,user,okta:grp-AllStaff,group,okta
E30026,user,ad:GG-DomainAdmins,group,ad
E30026,user,aws:grp-PlatformEng,group,aws
E30026,user,okta:grp-AllStaff,group,okta
E30027,user,ad:GG-DomainAdmins,group,ad
E30027,user,aws:grp-PlatformEng,group,aws
E30027,user,okta:grp-AllStaff,group,okta
E30028,user,ad:GG-DomainAdmins,group,ad
E30028,user,aws:grp-PlatformEng,group,aws
E30028,user,okta:grp-AllStaff,group,okta
E30029,user,ad:GG-DomainAdmins,group,ad
E30029,user,aws:grp-PlatformEng,group,aws
E30029,user,okta:grp-AllStaff,group,okta
E30030,user,ad:GG-DomainAdmins,group,ad
E30030,user,aws:grp-PlatformEng,group,aws
E30030,user,okta:grp-AllStaff,group,okta
E30031,user,ad:GG-DomainAdmins,group,ad
E30031,user,aws:grp-PlatformEng,group,aws
E30031,user,okta:grp-AllStaff,group,okta
E30032,user,ad:GG-DomainAdmins,group,ad
E30032,user,aws:grp-PlatformEng,group,aws
E30032,user,okta:grp-AllStaff,group,okta
E30033,user,ad:GG-DomainAdmins,group,ad
E30033,user,aws:grp-PlatformEng,group,aws
E30033,user,okta:grp-AllStaff,group,okta
E30034,user,ad:GG-DomainAdmins,group,ad
E30034,user,aws:grp-PlatformEng,group,aws
E30034,user,okta:grp-AllStaff,group,okta
E30035,user,ad:GG-DomainAdmins,group,ad
E30035,user,aws:grp-PlatformEng,group,aws
E30035,user,okta:grp-AllStaff,group,okta
E30036,user,ad:GG-DomainAdmins,group,ad
E30036,user,aws:grp-PlatformEng,group,aws
E30036,user,okta:grp-AllStaff,group,okta
E30037,user,ad:GG-DomainAdmins,group,ad
E30037,user,aws:grp-PlatformEng,group,aws
E30037,user,okta:grp-AllStaff,group,okta
E30038,user,ad:GG-DomainAdmins,group,ad
E30038,user,aws:grp-PlatformEng,group,aws
E30038,user,okta:grp-AllStaff,group,okta
E30039,user,ad:GG-DomainAdmins,group,ad
E30039,user,aws:grp-PlatformEng,group,aws
E30039,user,okta:grp-AllStaff,group,okta
E30040,user,ad:GG-DomainAdmins,group,ad
E30040,user,aws:grp-PlatformEng,group,aws
E30040,user,okta:grp-AllStaff,group,okta
E50001,user,ad:GG-Employees-Base,group,ad
E50001,user,okta:grp-AllStaff,group,okta
E50001,user,ad:GG-DomainAdmins,group,ad
E50002,user,ad:GG-Employees-Base,group,ad
E50002,user,okta:grp-AllStaff,group,okta
E50002,user,aws:grp-PlatformEng,group,aws
E50003,user,ad:GG-Employees-Base,group,ad
E50003,user,okta:grp-AllStaff,group,okta
E50003,user,okta:grp-SecurityTeam-Admin,group,okta
E50004,user,ad:GG-Employees-Base,group,ad
E50004,user,okta:grp-AllStaff,group,okta
E50004,user,okta:grp-SecurityTeam-Admin,group,okta
E50005,user,ad:GG-Employees-Base,group,ad
E50005,user,okta:grp-AllStaff,group,okta
E50005,user,okta:grp-SecurityTeam-Admin,group,okta
E50006,user,ad:GG-Employees-Base,group,ad
E50006,user,okta:grp-AllStaff,group,okta
E50006,user,ad:GG-DomainAdmins,group,ad
E50007,user,ad:GG-Employees-Base,group,ad
E50007,user,okta:grp-AllStaff,group,okta
E50007,user,ad:GG-DomainAdmins,group,ad
E50008,user,ad:GG-Employees-Base,group,ad
