source_id,source_type,target_id,target_type,platform
ad:GG-Finance-RW,group,ad:GG-Employees-Base,group,ad
ad:GG-Sales-RW,group,ad:GG-Employees-Base,group,ad
ad:GG-HR-RW,group,ad:GG-Employees-Base,group,ad
ad:GG-Legal-RW,group,ad:GG-Employees-Base,group,ad
ad:GG-Data-RW,group,ad:GG-Employees-Base,group,ad
ad:GG-IT-Helpdesk,group,ad:GG-Employees-Base,group,ad
ad:GG-IT-Admins,group,ad:GG-IT-Helpdesk,group,ad
ad:GG-DomainAdmins,group,ad:GG-IT-Admins,group,ad
ad:GG-Security-Analysts,group,ad:GG-Employees-Base,group,ad
ad:GG-Security-Admins,group,ad:GG-Security-Analysts,group,ad
ad:GG-DomainAdmins,group,ad:role-DomainAdmin,role,ad
ad:GG-Finance-RW,group,ad:role-FinanceWrite,role,ad
ad:GG-Sales-RW,group,ad:role-SalesWrite,role,ad
ad:GG-HR-RW,group,ad:role-HRWrite,role,ad
ad:GG-Legal-RW,group,ad:role-LegalWrite,role,ad
ad:GG-Data-RW,group,ad:role-DataWrite,role,ad
ad:GG-IT-Helpdesk,group,ad:role-HelpdeskReadOnly,role,ad
ad:GG-Security-Admins,group,ad:role-SecurityAdmin,role,ad
ad:GG-Security-Analysts,group,ad:role-SecurityAnalyst,role,ad
ad:GG-Employees-Base,group,ad:role-BasicAccess,role,ad
aws:grp-DevOps,group,aws:grp-Developers,group,aws
aws:grp-PlatformEng,group,aws:grp-DevOps,group,aws
aws:grp-DataEng,group,aws:grp-Developers,group,aws
aws:grp-MLEng,group,aws:grp-DataEng,group,aws
aws:grp-SecurityOps-Admin,group,aws:grp-SecurityOps,group,aws
aws:grp-PlatformEng,group,aws:role-GlobalAdmin,role,aws
aws:grp-PlatformEng,group,aws:role-S3FullAccess,role,aws
aws:grp-Developers,group,aws:role-EC2ReadOnly,role,aws
aws:grp-DevOps,group,aws:role-EC2FullAccess,role,aws
aws:grp-DataEng,group,aws:role-DataLakeAccess,role,aws
aws:grp-MLEng,group,aws:role-MLPlatformAccess,role,aws
aws:grp-FinanceOps,group,aws:role-BillingReadOnly,role,aws
aws:grp-SecurityOps,group,aws:role-SecurityAudit,role,aws
aws:grp-SecurityOps-Admin,group,aws:role-IAMFullAccess,role,aws
okta:grp-Engineering,group,okta:grp-AllStaff,group,okta
okta:grp-Finance,group,okta:grp-AllStaff,group,okta
okta:grp-Sales,group,okta:grp-AllStaff,group,okta
okta:grp-SecurityTeam,group,okta:grp-AllStaff,group,okta
okta:grp-SecurityTeam-Admin,group,okta:grp-SecurityTeam,group,okta
okta:grp-ITAdmins,group,okta:grp-AllStaff,group,okta
okta:grp-AllStaff,group,okta:role-BasicSSO,role,okta
okta:grp-SecurityTeam-Admin,group,okta:role-SecurityAdmin,role,okta
okta:grp-SecurityTeam,group,okta:role-SecurityAnalyst,role,okta
okta:grp-ITAdmins,group,okta:role-ITAdmin,role,okta
okta:grp-Finance,group,okta:role-FinanceApp,role,okta
okta:grp-Sales,group,okta:role-SalesApp,role,okta
okta:grp-Engineering,group,okta:role-EngApp,role,okta
ad:GG-Finance-RW-BLR,group,ad:GG-Finance-RW,group,ad
ad:GG-Finance-RW-BLR,group,ad:role-GG-Finance-RW-BLR,role,ad
ad:GG-Finance-RW-MUM,group,ad:GG-Finance-RW,group,ad
ad:GG-Finance-RW-MUM,group,ad:role-GG-Finance-RW-MUM,role,ad
ad:GG-Finance-RW-DEL,group,ad:GG-Finance-RW,group,ad
