employee_id,hr_termination_date,ad_disabled_date,aws_disabled_date,okta_disabled_date
E1280,2026-04-15,2026-04-15,,
E1296,2026-05-14,2026-05-17,2026-05-20,
E1204,2026-06-04,2026-06-07,2026-06-08,
E1093,2026-04-13,2026-04-15,2026-04-23,
E1227,2026-05-07,2026-05-09,,
E1001,2026-06-07,2026-06-10,2026-06-12,
E1274,2026-03-25,2026-03-26,2026-04-04,2026-03-31
E1002,2026-05-30,2026-05-30,,2026-06-06
E1168,2026-03-26,2026-03-26,,
E1066,2026-04-23,2026-04-25,2026-05-01,
E1259,2026-04-15,2026-04-18,,
E1222,2026-05-31,2026-06-02,,2026-06-07
E1261,2026-04-17,2026-04-19,,2026-04-22
E1065,2026-05-14,2026-05-17,2026-05-22,
E1146,2026-05-02,2026-05-04,2026-05-07,
E1201,2026-03-23,2026-03-24,,2026-03-31
E1265,2026-04-09,2026-04-10,2026-04-15,
E1153,2026-04-30,2026-05-01,,
E1160,2026-03-30,2026-03-31,,
E1184,2026-06-04,2026-06-04,,2026-06-11
E1295,2026-05-07,2026-05-10,2026-05-17,2026-05-16
E1080,2026-04-18,2026-04-20,2026-04-27,
E1122,2026-05-21,2026-05-24,,
E1181,2026-05-31,2026-06-02,2026-06-08,
E1192,2026-05-22,2026-05-22,,
E1194,2026-05-21,2026-05-21,,
E1050,2026-04-04,2026-04-04,2026-04-12,
E1145,2026-04-24,2026-04-24,,2026-05-03
E1105,2026-04-28,2026-04-29,,
E1293,2026-04-18,2026-04-19,2026-04-25,
